cluster,Cardiomyocyte,First_heart_fld,Second_heart_fld,Pharyngeal_meso,Skeletal_muscle,Paraxial_somite,Endothelium_pan,Angioblast_prog,Arterial_EC,Venous_EC,Lymphatic_EC,Endocardium,Erythroid_blood,LPM_limb,Epicardium,Smooth_mural,Mesenchyme_EMT,Notochord_axial,Neural_ectoderm,Endoderm
0,-0.1240850911389064,-0.11195373765535821,0.04935193002905496,0.2051994818137434,0.0200590538705825,0.017171697273207418,-0.02912951940688639,-0.08892642918900677,0.01968432750009349,0.07614912261771697,0.002114449286304475,0.01706739655848055,-0.32755365929568087,-0.11572269960258812,-0.04871869475338005,-0.0615719828426131,-0.04678389352180037,-0.004078273727897722,-0.005651916015627645,-0.009162359378769198
1,-0.08214457127681972,0.026153312535604534,0.00799463182357156,0.028375530405298718,-0.00954447314883148,-0.08032281825603454,-0.05912635981949717,-0.1346977094487017,0.004994374219265887,0.027410029216467752,-0.00991326954648224,0.023617897876165302,-0.11517147805849709,0.14522801411725555,-0.027246384299156105,-0.10465812479135118,-0.09315786334477286,-0.004520086376254122,-0.004307475855935408,-0.008028821515533174
2,0.1989469060729908,0.1018664630920761,0.18331253412659718,0.005992349995240142,-0.0011371632197441546,-0.10847097768726005,-0.05247911704504117,-0.10649491448413265,0.017765449101382193,-0.03320414924239385,0.003182801901435776,-0.02025290968695123,-0.38431557874647604,0.04999826938179603,0.0852126931408501,0.14588806917809286,-0.02831665096608624,-0.0031478589763019598,0.0020676066699492784,-0.007080992743796715
3,-0.12051773989718081,-0.0719907509504942,-0.05563583927449074,-0.02249066930481133,0.004374115211774012,-0.05793781126831078,-0.06251420850511197,-0.09802127117150611,-0.012774832877755654,-0.02233221926962273,-0.009423039465125039,-0.04381014753738783,0.09227285497572334,0.09407161350360607,0.00382537841820079,-0.08626620467143474,0.07119184477752434,-0.005375966104954271,0.0065128585040308004,-0.009403859080160157
4,-0.14518979311293975,-0.10835035514816699,-0.04240976747643287,-0.10006241343607579,-0.0016238157280491882,0.7904184358718578,-0.050787426568826684,-0.09332781487558822,-0.032138496019201976,0.0634292335314824,-0.01604002094968373,-0.0030418396327412975,-0.41575192896735,-0.11327051230617095,-0.0032152554619672537,-0.0597109185767974,-0.007870672716394697,-0.0012308477443606768,-0.0073090305854483124,-0.009277269504772725
5,-0.12991793734115978,0.23713863403756105,-0.06478367304906879,-0.14839826630970318,0.005239439692602194,-0.1333090242562148,0.10315196939076886,0.29579751241301433,-0.01987471449407127,-0.06432371567431204,0.0028161740490875342,-0.027814113506514013,-0.7193016368577819,0.17953976173848604,-0.06597599235182672,-0.04407684345197832,0.17439118693927136,0.012983527341398458,-0.011230890637469963,0.04018319299084572
6,-0.1352665902757334,0.13246029870114795,-0.08630712172719743,-0.09184969591524998,-0.0038714240701111105,-0.11384321631852301,-0.050649018611530094,-0.08586296151828005,-0.03972073734685028,-0.06133306230576723,-0.011634940132830627,-0.02378539519517752,-0.5381972010005248,0.1576398191872943,-0.06066928765789154,-0.07718096913136561,-0.06360484466285757,0.019258104092221492,2.540645929913078e-4,-0.003662541015927346
7,-0.11394282889465844,-0.10959393719458006,-0.0073056575187440175,-0.13610259686648996,-0.012105349151976518,-0.02595116262497867,0.5310394661315158,0.8693890011943758,0.06512518055123932,0.35109906991084955,0.1006973157680067,0.07889680772650845,-0.3208766827092401,-0.16736982413476656,-0.06860071267051845,-0.12765230876995048,-0.15423362884980749,0.02357672648640274,-0.029060300243464548,0.11351922195312465
8,-0.12722473077021879,-0.12173631288443706,-0.07312730393825963,-0.0168886690438574,-0.013818902692622669,0.0936553546253639,-0.06720365028373099,-0.04614871282014991,0.01403076687086974,-0.014014030910359307,-0.010400784791107655,-0.04413979407862591,0.23442850400446913,0.07362816701727824,0.08072676500379644,0.12390045098329638,0.23700524916271123,-0.005334665791679123,-0.01594139616342786,-0.013590546500020671
9,-0.03466903436654557,-0.049683967910820595,-0.048848949917206896,-0.08601322592304905,-0.013553052852026078,-0.07091477343235413,-0.02576200247637964,0.13154511270234692,-0.02830117177074544,-0.11864150858924348,-0.008696783033785094,-0.02974508968127561,3.1263538653001888,-0.07542919228028425,-0.02226089803251754,-0.09009835928992793,-0.09020683069856228,-0.0035418532998242286,0.0047963747286552,-0.006131424406226781
