"","E80","E825","E95","E105"
"E80",0.9935,0.0061,3e-04,1e-04
"E825",0.0429,0.9542,0.002,0.001
"E95",0.0054,0.0024,0.9305,0.0617
"E105",0.0011,4e-04,0.0277,0.9709
